Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,1.6217623010351567,-0.4593985099361714,-0.4436909012880545,0.7902380162040601,0.26882377510289057,-1.1335711079673514,-0.33557031172637525,-0.6359710477162417,-0.11038437249132538,-0.9591161804958594,0.25535912366021274,-3.2680192089165527,0.8894859356408038,-0.7305779003510356,-0.3234448000817086,-0.4835461186578253,0.3439926026292686,2.7968053425297903,2.757185396646576,-0.7044825600155852,-0.5636139252889358
Afghanistan,1.4049862482398328,-0.4593985099361714,-0.9792791096816855,0.8546135301901625,0.2857863783534794,-1.1335711079673514,-0.3344413196904387,-0.755661006325577,-0.16812370772244872,-0.9840655555969458,0.2740602388458842,-1.0480769413711257,0.8974927926329715,-0.8570915880524737,-0.3234448000817086,-0.4815529386652232,-0.20370569978443598,2.8646873409086964,2.8015499287631194,-0.7187096386687841,-0.5933907676054858
Afghanistan,1.1882101954445088,-0.4593985099361714,-0.9792791096816855,0.8304727124453741,0.30274898160406827,-1.1335711079673514,-0.3345944403160823,-0.6758677005860201,-0.17353131917914003,-1.009014930698032,0.2927613540315556,-0.877312151559939,0.8774756501525522,-0.7727491295848483,-0.3234448000817086,-0.4802178256971218,0.3111262571802217,2.9099420064946333,2.8459144608796625,-0.7471637959751821,-0.6231676099220359
Afghanistan,0.9714341426491849,-0.4593985099361714,-1.0212860279870681,0.8626604694384253,0.32819288647995154,-1.1335711079673514,-0.3320964370773485,-0.5561777419766848,0.03204513571475379,-1.0339643057991186,0.31769617427911756,-0.6638561642959556,1.0336093614998256,-0.6462354418834103,-0.3234448000817086,-0.47753939218339564,-0.14846889604196517,2.9551966720805702,2.912461259054478,-0.7803603128326462,-0.652944452238586
Afghanistan,0.754658089853861,-0.4593985099361714,-1.0527912167161049,0.8868012871832138,0.3451554897305404,-1.1335711079673514,-0.36786215776366954,-0.5162810891069064,0.05175675166978986,-1.0539238058799876,0.3426309945266795,-0.621164966843159,0.7733865092543695,-0.6040642126495976,-0.3234448000817086,-0.5200436934719146,-0.1602455143533788,3.023078670459476,2.9568257911710214,-0.8230415487922431,-0.7422749791882366
Afghanistan,0.5378820370585369,-0.4593985099361714,-1.0947981350214884,0.918989044176265,0.37059939460642366,-1.1335711079673514,-0.3313441882727278,-0.5960743948464632,-0.0375560569052408,-1.078873180981074,0.3737995198361319,-0.7065473617487523,1.3058424992335336,-0.688406671117223,-0.3234448000817086,-0.485714031457498,-0.16181000542079052,3.068333336045413,3.0011903232875645,-0.851495706098641,-0.8316055061378873
Afghanistan,0.32110598426321296,-0.4593985099361714,-1.1158015941741792,0.9350829226727906,0.39604329948230693,-1.1335711079673514,-0.342874386143724,-0.7157643534557985,0.03849938164693374,-1.1038225560821604,0.39873434008369385,-0.8346209541071423,1.3939179261473806,-0.814920358818661,-0.3234448000817086,-0.4932442309562299,-0.20441474709725166,3.1135880016313506,3.0677371214623803,-0.9178887398135697,-0.9209360330875374
Afghanistan,0.10432993146788898,-0.4593985099361714,-1.168310242055908,0.9833645581623675,0.4214872043581902,-1.1286348768883103,-0.3584150665528864,-0.6758677005860201,-0.07157167735862162,-1.1287719311832467,0.4236691603312557,-0.7919297566543457,0.9575442200742308,-0.7727491295848483,-0.3234448000817086,-0.4983280354260526,-0.1643303193483998,3.1588426672172876,3.1121016535789234,-0.9226310993646359,-0.980489717720638
Afghanistan,-0.112446121327435,-0.4593985099361714,-1.2313206195139823,1.04774007214847,0.43844980760877905,-1.131102992427831,-0.365943717270008,-0.7157643534557985,-0.11151822650643807,-1.153721306284333,0.44237027551692715,-0.8346209541071423,0.31699566070080004,-0.814920358818661,-0.3234448000817086,-0.4985751262856317,0.22727378523433348,3.2040973328032245,3.1564661856954674,-1.00799357128383,-1.069820244670288
Afghanistan,-0.329222174122759,-0.4593985099361714,-1.2523240786666738,1.04774007214847,0.4554124108593679,-1.1286348768883103,-0.36279346797279566,-0.6758677005860201,-0.03746883736561675,-1.1786706813854195,0.4610713907025986,-1.0480769413711257,0.5972356554266758,-1.0257765049877243,-0.3234448000817086,-0.5053929545883105,-0.16662685819982742,3.2493519983891614,3.200830717812011,-1.055417166794493,-1.1591507716199387
Afghanistan,-0.545998226918083,-0.4593985099361714,-1.2523240786666738,1.0155523151554187,0.46389371248466227,-1.131102992427831,-0.3707342288101815,-0.5960743948464632,-0.0979991978647098,-1.2036200564865058,0.47353880082637956,-1.0480769413711257,1.1056710744293365,-1.0257765049877243,-0.3234448000817086,-0.5227241650091455,-0.2048497232215248,3.2719793311821306,3.2451952499285546,-1.0980984027540899,-1.218704456253039
Afghanistan,-0.7627742797134069,-0.4593985099361714,-1.2838292673957108,1.0316461936519443,0.4808563157352511,-1.131102992427831,-0.3637370548298105,-0.5561777419766848,-0.1703914157526741,-1.2235795565673748,0.4860062109501605,-3.3107104063693495,1.1417019308940919,-3.2608516543797954,-0.3234448000817086,-0.5091373493846485,0.18632519224073693,3.3172339967680675,3.2895597820450977,-1.1692337960200847,-1.5462497217350906
Afghanistan,-0.9795503325087309,-0.4593985099361714,-1.3153344561247475,1.04774007214847,0.4808563157352511,-1.1335711079673514,-0.3658537097918803,-0.6359710477162417,-0.1414345285974884,-1.243539056648244,0.4984736210739415,-1.7738272980686691,1.1537122163823441,-1.7426874019625396,-0.3234448000817086,-0.5105680898968379,-0.17030716310476005,3.3624886623540045,3.3339243141616413,-1.2071726724286154,-1.635580248684741
Afghanistan,-1.1963263853040549,-0.4593985099361714,-1.367843104006476,-1.30196618834427,0.48933761736054554,-1.1335711079673514,-0.36293643937408787,-0.6758677005860201,0.0057920542879137255,-1.263498556729113,0.4984736210739415,-1.9872832853326525,0.7293487957974459,-1.9535435481316028,-0.3234448000817086,-0.5113308544623938,0.1512579820314416,3.4077433279399414,-0.5923367781524592,-1.3589281780627376,-1.7249107756343915
Afghanistan,-1.4131024380993789,-0.4593985099361714,-1.462358670193588,1.2167257963619889,0.48933761736054554,-1.1335711079673514,-0.3661124794670394,-0.7157643534557985,0.5531818849684728,-1.283458056809982,0.4984736210739415,-2.029974482785449,0.7453625097817818,-2.0800572358330407,-0.3234448000817086,-0.5162616369129442,-0.16044446924894956,-0.6199219092084612,-0.5479722460359158,-1.3636705376138039,-1.8142413025840418
Afghanistan,-1.6298784908947028,-0.4593985099361714,-1.5148673180753165,1.256960492603303,0.48933761736054554,-1.1335711079673514,-0.3661878316351795,-0.755661006325577,0.35868231160683367,-1.3034175568908513,0.4984736210739415,-2.4995776547662127,0.9054996496251393,-2.4595982989373546,-0.3234448000817086,-0.5164674908073456,-0.20426023573512622,-0.5746672436225242,-0.525789979977644,-1.3731552567159364,-1.9333486718502426
Albania,1.6217623010351567,-0.4593985099361714,0.9005304844841953,-0.7306335017176105,-0.2570169256653636,-0.0007060753274503923,-0.18780462704826756,0.720515149856225,-0.21103572121748299,0.9819452023686585,-0.2620383964766972,0.7022621541935379,0.024745380486672,0.7032438935985947,-0.3234448000817086,-0.24734390943710943,-0.20860266895887947,-0.8235679043451781,-0.7919771726769052,0.6376051929361843,0.6572366096896202
